holiday,temp,rain,snow,weather,date,Time,traffic_volume
7,288.28,0,0,1,02-10-2012,09:00:00,5545
7,289.36,0,0,1,02-10-2012,10:00:00,4516
7,289.58,0,0,1,02-10-2012,11:00:00,4767
7,290.13,0,0,1,02-10-2012,12:00:00,5026
7,291.14,0,0,1,02-10-2012,13:00:00,4918
7,291.72,0,0,0,02-10-2012,14:00:00,5181
7,293.17,0,0,0,02-10-2012,15:00:00,5584
7,293.86,0,0,0,02-10-2012,16:00:00,6015
7,294.14,0,0,1,02-10-2012,17:00:00,5791
7,293.1,0,0,1,02-10-2012,18:00:00,4770
7,290.97,0,0,1,02-10-2012,19:00:00,3539
7,289.38,0,0,0,02-10-2012,20:00:00,2784
7,288.61,0,0,0,02-10-2012,21:00:00,2361
7,287.16,0,0,0,02-10-2012,22:00:00,1529
7,285.45,0,0,0,02-10-2012,23:00:00,963
7,284.63,0,0,0,03-10-2012,00:00:00,506
7,283.47,0,0,0,03-10-2012,01:00:00,321
7,281.18,0,0,0,03-10-2012,02:00:00,273
7,281.09,0,0,0,03-10-2012,03:00:00,367
7,279.53,0,0,0,03-10-2012,04:00:00,814
7,278.62,0,0,0,03-10-2012,05:00:00,2718
7,278.23,0,0,0,03-10-2012,06:00:00,5673
7,278.12,0,0,0,03-10-2012,08:00:00,6511
7,,0,0,0,03-10-2012,09:00:00,5471
7,291.97,0,0,0,03-10-2012,12:00:00,5097
7,293.23,0,0,0,03-10-2012,13:00:00,4887
7,294.31,0,0,0,03-10-2012,14:00:00,5337
7,295.17,0,0,0,03-10-2012,15:00:00,5692
7,295.13,0,0,0,03-10-2012,16:00:00,6137
7,,0,0,1,03-10-2012,18:00:00,4623
7,290.65,0,0,1,03-10-2012,19:00:00,3591
7,288.19,0,0,1,03-10-2012,20:00:00,2898
7,287.1,0,0,0,03-10-2012,21:00:00,2637
7,286.25,0,0,0,03-10-2012,22:00:00,1777
7,285.26,0,0,0,03-10-2012,23:00:00,1015
7,284.55,0,0,0,04-10-2012,00:00:00,598
7,283.47,0,0,0,04-10-2012,01:00:00,369
7,283.17,0,0,0,04-10-2012,02:00:00,312
7,282.04,0,0,0,04-10-2012,03:00:00,367
7,281.69,0,0,0,04-10-2012,04:00:00,835
7,281.32,0,0,0,04-10-2012,05:00:00,2726
7,280.74,0,0,0,04-10-2012,06:00:00,5689
7,280.57,0,0,0,04-10-2012,07:00:00,6990
7,,0,0,0,04-10-2012,08:00:00,5985
7,284.98,0,0,0,04-10-2012,09:00:00,5309
7,289.18,0,0,0,04-10-2012,10:00:00,4603
7,291.55,0,0,0,04-10-2012,11:00:00,4884
7,294.97,0,0,0,04-10-2012,12:00:00,5104
7,296.38,0,0,0,04-10-2012,13:00:00,5178
7,297.32,0,0,0,04-10-2012,14:00:00,5501
7,298.17,0,0,0,04-10-2012,15:00:00,5713
7,298.06,0,0,1,04-10-2012,16:00:00,6292
7,297.67,0,0,1,04-10-2012,17:00:00,6057
7,296.36,0,0,1,04-10-2012,18:00:00,4907
7,293.85,0,0,1,04-10-2012,19:00:00,3503
7,292.43,0,0,1,04-10-2012,20:00:00,3037
7,291.77,0,0,1,04-10-2012,21:00:00,2822
7,,0,0,1,04-10-2012,22:00:00,1992
7,291.12,0,0,1,04-10-2012,23:00:00,1166
7,290.63,0,0,1,05-10-2012,00:00:00,627
7,290.46,0,0,1,05-10-2012,01:00:00,388
7,289.26,0,0,0,05-10-2012,03:00:00,368
7,283.21,0,0,1,05-10-2012,05:00:00,2489
7,282.24,0,0,1,05-10-2012,06:00:00,5537
